214502,4
87560,11
122483,4
36940,10
290951,2
144033,3
188508,4
102997,4
36902,4
342823,3
400873,10
346180,3
196751,10
231046,4
210807,4
2587,5
129217,9
412163,11
249602,3
3706,3
232893,11
401371,4
189951,10
88686,11
346662,9
295627,8
380055,10
193194,4
96234,3
42684,5
157788,11
66968,11
413432,11
259025,9
153550,9
205171,10
98830,4
164312,10
172005,9
49976,3
303003,3
342124,9
46627,3
33928,9
151183,11
2012,9
2385,11
67690,5
333398,10
423031,3
93846,3
288392,2
278593,3
155646,9
309897,11
66734,5
175969,6
287435,3
422549,4
406890,5
325537,11
78144,4
154226,9
39192,5
210271,4
343258,4
1337,3
276412,11
391737,3
215508,8
50853,4
229872,8
289438,3
333114,11
247050,10
143049,4
189789,4
378203,4
55518,4
180376,5
371600,5
311113,2
396065,5
9195,4
323439,4
76331,3
316449,12
116321,3
160997,4
329833,10
233044,10
187049,9
56241,3
98518,10
299631,4
147380,10
110109,9
374024,8
334192,2
142989,5
8668,9
266046,5
59376,9
162492,4
212786,4
216645,11
313214,3
247135,12
197970,10
1744,3
160022,3
350375,10
402694,5
235595,3
18885,11
69419,3
144255,5
261482,3
87262,5
222013,4
294279,3
196262,3
26622,8
340873,5
126201,4
135436,4
347796,9
351730,9
42975,3
38156,11
422268,3
341592,3
24838,4
19213,2
55733,3
97637,9
48912,4
76059,10
25842,3
371190,2
360886,9
56480,4
344990,11
42967,10
161273,3
308543,3
304950,2
33633,3
404803,10
241033,3
52793,4
194132,4
359796,3
154183,4
33768,11
379617,12
248425,9
155167,10
299581,5
353300,3
348929,10
148317,3
53503,8
247122,6
192163,3
148424,3
203304,3
372513,9
382670,3
317644,5
353333,3
162715,4
3840,3
44842,9
268220,3
42108,2
200317,4
224472,3
40805,4
322968,4
205762,3
111482,5
345516,11
276020,4
235430,2
119310,2
213142,11
321902,4
52922,3
110267,4
58684,3
152595,9
92439,3
145667,9
13684,3
417726,10
51972,4
260757,3
24677,10
141694,3
66741,9
251555,3
14061,3
89959,9
145725,3
101845,3
209245,3
359173,4
321894,4
132250,4
262016,11
222140,9
376306,3
16509,9
258309,9
116891,9
421357,4
342366,9
235483,4
2987,5
125977,3
81054,3
109633,9
135863,3
208188,9
372937,5
140118,10
421502,3
39354,5
116988,1
355692,10
169460,10
235245,4
138516,9
392377,3
291610,9
44132,4
104060,4
160144,8
395521,4
340384,3
180737,4
195725,3
125476,9
98787,4
113073,2
53274,3
25958,12
242730,3
104935,10
315480,9
262618,9
413211,3
384915,9
337593,3
397093,3
339555,4
151690,9
256242,3
134083,10
204486,4
266418,9
186910,4
366009,2
160664,3
419994,4
98540,3
170500,12
314284,2
15492,3
81221,3
56204,10
9695,3
142852,5
276901,11
160932,2
382571,4
311272,3
326559,10
273168,10
293177,10
165553,9
317913,3
260161,6
140648,4
127374,6
216683,9
154192,5
246558,10
119556,4
1722,10
216663,10
234138,9
177288,3
125788,8
317860,10
40087,10
27026,9
115966,3
153036,10
339870,3
253654,4
197207,4
210960,5
330623,8
357809,3
146396,10
86330,5
306847,9
50138,4
327282,3
227433,4
336893,3
238845,10
10215,3
86287,9
213262,4
335346,5
92784,3
228806,4
215741,3
395940,3
35971,3
259198,3
47909,3
43630,10
235758,10
258959,10
417765,4
35822,9
225879,2
170669,9
94490,9
18292,10
246318,4
4552,9
73553,4
150272,3
235345,3
134642,8
162420,5
365510,3
164407,9
18417,3
387011,11
244928,4
2680,3
73388,9
242624,10
93721,8
214556,4
83700,11
175828,3
356203,5
309377,5
307891,8
82351,9
26924,2
401491,11
48052,11
849,4
55957,8
150889,2
300605,5
17225,10
128466,3
251125,2
377450,3
